"Date","Open","High","Low","Close          Close price adjusted for splits.","Adj Close          Adjusted close price adjusted for splits and dividend and/or capital gain distributions.","Volume"
"Jun 1, 2012","159.24","173.64","156.24","164.40","113.59","176,401"
"May 1, 2012","194.28","197.52","157.32","161.88","111.85","151,774"
"Apr 1, 2012","208.32","211.68","190.08","194.28","134.23","117,916"
"Mar 1, 2012","206.52","214.68","193.92","205.92","142.27","191,774"
"Feb 1, 2012","214.56","223.56","207.24","207.84","143.60","144,291"
"Jan 1, 2012","183.72","216.12","182.28","212.40","146.75","159,343"
"Dec 23, 2011","11.44 Dividend","11.44 Dividend","11.44 Dividend","11.44 Dividend","11.44 Dividend","11.44 Dividend"
"Dec 1, 2011","210.48","214.20","175.32","179.04","116.42","230,376"
"Nov 1, 2011","210.24","227.28","184.32","209.88","136.47","222,832"
"Oct 1, 2011","180.96","232.56","165.84","219.24","142.55","326,732"
"Sep 1, 2011","259.92","262.32","182.16","184.32","119.85","360,425"
"Aug 1, 2011","309.60","309.60","222.72","261.60","170.10","573,494"
"Jul 1, 2011","308.64","317.04","286.44","300.12","195.14","360,260"
"Jun 1, 2011","326.40","328.80","282.36","309.60","201.31","421,827"
"May 1, 2011","334.32","335.16","298.68","328.80","213.79","547,384"
"Apr 1, 2011","318.96","346.92","315.24","332.16","215.98","746,417"
"Mar 1, 2011","303.36","316.20","242.28","315.60","205.21","888,142"
"Feb 1, 2011","282.00","306.96","282.00","296.76","192.96","797,367"
"Jan 1, 2011","292.20","326.28","271.56","280.32","182.27","1,179,149"
